name,title,description,datatype,required
uid,Ідентифікатор,Розпорядники також можуть використовувати власні види ідентифікаторів. Наприклад: 001,string,True
title,Назва,"Назва цілей застосування технічних регламентів. Наприклад: Перелік національних стандартів, що гармонізовані з відповідними європейськими стандартами та є доказом безпечності нехарчової продукції",string,True
acceptance_Date,Дата ухвалення,"Дата ухвалення нормативно-правового акта, яким прийнято національний стандарт, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06",date,True
number,Номер,"Номер НПА, яким прийнято національний стандарт. Наприклад: 1234-р",string,False
issuedDate,Дата оприлюднення,Дата оприлюднення нормативно-правового акта у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06,date,True
validFrom,Чинний від,Дата набрання чинності нормативно-правовим актом у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06,date,True
status,Статус,"Статус може мати одне зі значень: Набирає чинності, Чинний, Втратив чинність, Дію зупинено, Дію відновлено, Не набрав чинності. Наприклад: Чинний",string,True
publisherName,Назва видавника,Повна назва видавника. Наприклад: Міністерство економіки України,string,True
publisherId,Ідентифікатор видавника,Код ЄДРПОУ. Наприклад: 01234567. У іншому випадку зазначити: null,string,False
url,Посилання,Посилання на оприлюднений в мережі Інтернет документ (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/,anyURL,True
text,Текст ,Вказується назва файлу із текстовим вмістом,string,True
registrationNumber,Номер державної реєстрації,"Номер акта за державним реєстром. Наприклад: 123/12345. Якщо державна реєстрація не передбачена, вказати: null",string,False
registrationDate,Дата державної реєстрації,"Дата державної реєстрації акта форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06. Якщо державна реєстрація не передбачена, вказати: null",date,False
registratorName,Назва реєстратора,"Назва суб’єкта, що провів державну реєстрацію НПА. Наприклад: Головне територіальне управління юстиції у місті Києві. Якщо державна реєстрація не передбачена, вказати: null",string,False
registratorId,Ідентифікатор реєстратора,"Код ЄДРПОУ суб’єкта, що провів державну реєстрацію НПА. Наприклад: 01234567. Якщо державна реєстрація не передбачена, вказати: null",string,False
