name,title,description,datatype,required
uid,Ідентифікатор зарядної станції,"Вказується ідентифікатор зарядної станції, за відсутності вказати: null. Наприклад: abcd1234",string,False
ownerName,Назва власника (балансоутримувача) зарядної станції,"Повна назва юридичної особи або ім'я, прізвище, по батькові фізичної особи-підприємця власника (балансоутримувача) зарядної станції. Наприклад: КП «Тесла»",string,True
ownerId,Код ЄДРПОУ власника (балансоутримувача) зарядної станції,Код ЄДРПОУ власника (балансоутримувача) зарядної станції. Наприклад: 01411082. Дані реєстраційного номера облікової картки платника податків фізичної особи-підприємця знеособлюються,string,True
ownerTelephone,Контактний номер телефону власника (балансоутримувача) зарядної станції,"Номер телефону має починатися з +380, включати код населеного пункту або оператора та телефонний номер (12 цифр, без пробілів і дужок). Наприклад: +380123456789. У електронних таблицях допускається написання коду країни 380 або використання комбінації ‘+ (апостроф та плюс). У випадку вказання кількох номерів телефону розділити значення комою",string,True
ownerEmail,Контактна адреса електронної пошти власника (балансоутримувача) зарядної станції,Адреса електронної пошти. Наприклад: contact@example.gov.ua. У випадку вказання кількох адрес розділити значення комами,string,True
workingHours,Графік роботи зарядної станції,"Дні тижня позначаються комбінаціями літер (Пн, Вт, Ср, Чт, Пт, Сб, Нд), години — цифрами у 24-годинному форматі (ГГ:ХХ). Для графіка з понеділка до п’ятниці, з 9:00 до 17:00 запис в таблиці матиме вигляд — Пн-Пт 09:00-17:00. Коли потрібно позначити інтервал днів (з понеділка до п’ятниці), використовується дефіс, коли окремі дні (понеділок та п’ятниця) — кома. Наприклад: графік роботи в понеділок і п’ятницю з 09:00-17:00 матиме такий вигляд: Пн,Пт 09:00-17:00. Якщо графік змінюється протягом тижня, різні режими роботи необхідно записати через кому. Наприклад: Пн-Чт 08:00-17:20, Пт 08:00-16:00",string,True
stationAccess,Доступ до зарядної станції,"Вказується вільний або обмежений доступ до зарядної станції. Якщо станція знаходиться на приватній території, до якої доступ лише певний час доби, або за перепустками, - вказується обмежений.",string,True
connectorsType,"Типи роз’ємів які є у зарядної станції, напруга, сила струму та їхня потужність","Вказуються роз’єми зарядних станцій, відповідно до їхньої технічної специфікації, в дужках вказується сила струму та потужність. Якщо роз'єми різнотипні, значення розділяються комами. Наприклад: Type 2(380-400В, 63А, 44 кВт), Type Tesla (220-240В, 80A, 17 кВт)",string,True
CATUTTC,Код КАТОТГ,Код КАТОТТГ адміністративної одиниці. Наприклад: UA32140050010021659,string,True
addressPostCode,Поштовий індекс,"Поштовий індекс адреси, до якої прив’язана зарядна станція, за відсутності вказати: null. Наприклад: 01234",string,False
addressAdminUnitL1,Країна,Назва країни. У колонці має бути зазначено: Україна,string,True
addressAdminUnitL2,Область,"Назва області, де розміщена зарядна станція. Наприклад: Полтавська область",string,True
addressAdminUnitL3,Район,"Назва району, де розміщена зарядна станція. Наприклад: Броварський район. У разі відсутності вказати: null",string,False
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради, де розміщене насадження. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта",string,True
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо, де розміщена зарядна станція. Наприклад: вул. Харківська",string,True
addressLocatorDesignator,Номер будівлі,"Номер будівлі (об’єкта), де розміщена зарядна станція, може включати числа та букви. Наприклад: 15-А",string,True
addressLocatorBuilding,Номер корпусу,"Номер корпусу, де розміщена зарядна станція, зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати: null",string,False
addressDescription,Опис розміщення,"Опис вказується за потреби, щоб чіткіше визначити розміщення. Наприклад: Центральна алея",string,False
lat,Географічна широта,Географічна широта розташування зарядної станції. Розділювач десяткових значень — крапка. Наприклад: 50.457718. У разі відсутності вказати: null,decimal,False
lon,Географічна довгота,Географічна довгота зарядної станції. Розділювач десяткових значень — крапка. Наприклад: 30.487021. У разі відсутності вказати: null,decimal,False
