name,title,description,datatype,required
uid,Реєстраційний номер,Реєстраційний номер (номер справи) або будь-який унікальний ідентифікатор адміністративної послуги.,string,True
registrationDateTime,Дата звернення,Дата та час звернення у форматі ISO 8601 (рррр-мм-ддTгг:хх). Наприклад: 2019-05-30Т10:45,dateTime,True
code,Код 	послуги,Вказується код для даного виду послуги. Наприклад: КУБГ2004 ,string,False
title,Назва послуги,Назва послуги. Наприклад: «Оформлення і видача паспорта громадянина України для виїзду за кордон з безконтактним електронним носієм».,string,True
authorityId,Ідентифікатор дозвільного органу,Код ЄДРПОУ дозвільного органу. Наприклад: 01234567,string,True
authorityName,Назва дозвільного органу,Назва дозвільного органу. Наприклад: Департамент реєстрації Харківської міської ради.,string,True
applicantType,Тип суб’єкта,Тип суб’єкта звернення (фізична чи юридична особа). Наприклад: Юридична особа,string,True
applicantName,Найменування суб’єкта звернення,"Найменування суб’єкта звернення (у випадку юридичних осіб). Наприклад: ТОВ «Барвінок»  Якщо суб’єкт звернення - фізична особо, то null",string,False
applicantId,Код ЄДРПОУ суб’єкта звернення,"Код ЄДРПОУ суб’єкта звернення (у випадку юридичних осіб). Наприклад: «01234567». Якщо суб’єкт звернення - фізична особа, вказати null",string,False
status,Статус виконання послуги,"Статус виконання послуги. Наприклад: «На виконанні», «Повернуто на доопрацювання», «Виконано»",string,True
providDate,Дата надання послуги,Дата надання послуги у форматі ISO 8601 (рррр-мм-дд) Наприклад: 2023-04-09.,date,True
amount,Розмір сплаченого адміністративного збору,Розмір сплаченого адміністративного збору. Сума вказується в гривні без зазначення коду валюти. Розділювач десяткових значень - крапка. Наприклад: 250.0,decimal,True
currency,Валюта,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",decimal,True
issuedDate,Дата видачі документа,"Дата видачі документа тощо у форматі ISO 8601 (рррр-мм-дд) Наприклад: 2023-04-09. Якщо за результатом послуги документи не видавалися, то null",date,False
