name,title,description,datatype,required
title,Назва тимчасової споруди,Назва тимчасової споруди із зазначенням напряму підприємницької діяльності,string,True
type,Тип тимчасової споруди,Вказується тип споруди: стаціонарна або пересувна. Наприклад: стаціонарна,string,True
CATUTTC,Код КАТОТТГ,Код КАТОТТГ адміністративної одиниці. Наприклад: UA32140050010021659,string,True
addressPostCode,Поштовий індекс,Поштовий індекс адреси тимчасової споруди. Наприклад: 01234,string,True
addressAdminUnitL1,Країна,Назва країни. У колонці має бути зазначено: Україна,string,True
addressAdminUnitL2,Регіон,"Назва регіону, де розміщена тимчасова споруда. Наприклад: Полтавська область",string,True
addressAdminUnitL3,Район,"Назва району, де розміщена тимчасова споруда. Наприклад: Броварський район. У разі відсутності вказати: null",string,False
addressAdminUnitL4,Територіальна громада,"Назва територіальної громади, де розміщена тимчасова споруда. Наприклад: Згурівська. У разі відсутності вказати: null",string,False
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради, де розміщена тимчасова споруда. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їхніх скорочень «м.» та «с. р.»). Наприклад: Балта",string,True
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо, де розміщена тимчасова споруда. Наприклад: вул. Харківська",string,True
addressLocatorDesignator,Номер будівлі,"Номер будівлі (об’єкта), де розміщена тимчасова споруда, може включати числа та букви. Наприклад: 15-А",string,True
addressLocatorBuilding,Номер корпусу,"Номер корпусу, де розміщена тимчасова споруда, зазначається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати: null",string,False
addressDescription,Опис розміщення,"Опис вказується за потреби, щоб чіткіше визначити розміщення. Наприклад: 47 кілометр траси Київ-Обухів",string,False
ownerName,Власник тимчасової споруди,"Повна назва юридичної особи або прізвище, ім’я та по батькові фізичної особи – підприємця – власника тимчасової споруди. Наприклад: КП «Благоустрій»",string,True
ownerCode,Код власника тимчасової споруди,Код ЄДРПОУ юридичної особи власника тимчасової споруди. Наприклад: 01411082. Дані реєстраційного номера облікової картки платника податків фізичної особи-підприємця знеособлюються,string,True
passportNumber,Номер паспорту прив'язки,Вказується реєстраційний номер паспорту прив’язки тимчасової споруди. Наприклад: СВ-125/12,string,True
passportIssuedName,"Назва органу, який видав паспорт","Назва органу місцевого самоврядування, яким видано паспорт прив’язки. Наприклад: Згурівська міська рада",string,True
passportStatus,Статус паспорта прив’язки,"Статус паспорта прив’язки. Вказується актуальний статус паспорта: дійсний, призупинений, анульований. Наприклад: дійсний",string,True
passporttIssuedDate,Дата видачі паспорта,Дата видачі паспорта прив’язки,date,True
passportDateUntil,Дата до якої дійсний паспорт прив’язки,Вказується дата до якої дійсний паспорт прив’язки,date,True
passportText,Назва файлу із паспортом прив’язки,"Вказується назва файлу із паспортом прив’язки, які оприлюднюються в архіві. Наприклад: 757-2.html",string,False
passportUrl,Паспорт прив’язки,"Посилання на паспорт прив’язки оприлюднений в мережі інтернет (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/photo.png. Якщо фото відсутнє, вказати: null",anyURL,True
lat,Географічна широта,Географічна широта місця розміщення тимчасової споруди. Розділювач десяткових значень — крапка. Наприклад: 50.457718. У разі відсутності вказати: null,decimal,True
constructionlon,Географічна довгота,Географічна довгота місця розміщення тимчасової споруди. Розділювач десяткових значень — крапка. Наприклад: 30.487021. У разі відсутності вказати: null,decimal,True
