name,title,description,datatype,required
uid,Ідентифікатор,Реєстраційний номер або будь-який інший ідентифікатор звернення. Наприклад: 2019/102,string,True
receivedDate,Дата реєстрації,Дата реєстрації звернення у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-30,date,True
number,Номер у черзі,Номер звернення в черзі на отримання земельної ділянки (ціле число). Наприклад: 19,integer,True
applicantFamilyName,Прізвище,Вказується прізвище заявника. Наприклад: Ковальчук,string,True
applicantName,Імʼя,Вказується імʼя заявника. Наприклад: Віктор,string,True
applicantAdditionalName,По батькові ,Вказується по батькові заявника. Наприклад: Зосимович,string,True
isBenefitType,Першочерговість,Наявність підстави для першочергового отримання земельної ділянки відповідно до частини 1 статті 34 Закону України “Про місцеве самоврядування в Україні” може мати одне зі значень: Так або Ні. Інформація про тип та підставу отримання пільги знеособлюється. Наприклад: Так,boolean,True
status,Статус,"Статус звернення може мати одне зі значень: Чинне, Виконане, Відкликане. Наприклад: Чинне",string,True
decisionType,Вид НПА,"У випадку відведення земельної ділянки на звернення, у цій та наступних колонках зазначається інформація про відповідний нормативно-правовий акт (далі – НПА). Вид НПА, яким відведена ділянка. Наприклад: Рішення. В іншому випадку в цій та наступних колонках вказати: null",string,False
decisionTitle,Назва НПА,"Назва НПА, яким відведена ділянка. Наприклад: Про відведення земельних ділянок для садибної забудови мікрорайону Промисловий",string,False
decisionIssued,Дата ухвалення НПА,Дата ухвалення НПА у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06,date,False
decisionNumber,Номер НПА,Номер НПА (без знаку «№»). Наприклад: 1234-р.,string,False
decisionUrl,Посилання на НПА,"Посилання на копію НПА, оприлюднену в мережі Інтернет. Адреса має розпочинатися з http:// або https://. Наприклад: https://uzhhorod.gov.ua/doc/rishennja-987",anyURL,False
text,Текст,Вказується назва файлу із текстовим вмістом.,string,False
publisherName,Назва видавника НПА,Повна назва видавника НПА. Наприклад: Виконавчий комітет Тернопільської міської ради,string,False
publisherId,Ідентифікатор видавника НПА,Код ЄДРПОУ видавника. Наприклад: 01234567,string,False
