name,title,description,datatype,required
funeralDate,Дата поховання,"Дата кремації (поховання),  у форматі ISO 8601 (рррр-мм-дд). Наприклад: 1950-12-02",date,True
cemeteryName,Назва кладовища,Вказується назва кладовища,string,True
authorityName,Назва підприємства,Назва підприємства у чиєму віданні знаходиться кладовище,string,True
authorityId,Код ЄДРПОУ підприємства,Код ЄДРПОУ підприємства у чиєму віданні знаходиться кладовище,string,True
place,Координати поховання,"Номер сектора (ділянки), ряду (секції) та могили (ніші). або інші ідентифікатори місця поховання",string,True
name,Імʼя,Імʼя члена сімʼї. Наприклад: Тамара,string,True
familyName,Прізвище,Вказується прізвище члена сімʼї. Наприклад: Бондаренко,string,True
additionalName,По батькові,Вказується по батькові кандидата. Наприклад: Іванівна,string,True
birthDate,Дата народження,"Вказується дата народження,  у форматі ISO 8601 (рррр-мм-дд). Наприклад: 1856-12-01 ",date,True
deathDate,Дата смерті,"Вказується дата смерті,  у форматі ISO 8601 (рррр-мм-дд). Наприклад: 1950-12-01 ",date,True
reason,Причина смерті,Вказується причина смерті. Наприклад: Порок серця,string,True
docDate,Дата свідоцтва про смерть або іншого аналогічного документу,"Дата видачі свідоцтва про смерть,  у форматі ISO 8601 (рррр-мм-дд). Наприклад: 1950-12-01 ",date,True
docIssuerName,Найменування,"Назва органу, який видав свідоцтво про смерть.",string,True
docIssuerId,Ідентифікатор,"Ідентифікатор органу, який видав свідоцтво про смерть",string,False
