name,title,description,datatype,required
chipUid,"Індивідуальний номер тварини, вказаний на чіпі","Вказується унікальний ідентифікатор чипу (бірки), який було нанесено на тварину",string,True
catchName,"Назва юридичної особи, яка здійснила відлов тварини","Назва юридичної особи, яка здійснила відлов тварини. Наприклад: КП «Містсервіс»",string,True
catchId,"Код ЄДРПОУ юридичної особи, яка здійснила відлов тварини","Код ЄДРПОУ юридичної особи, яка здійснила відлов тварини. Наприклад: 01411082",string,True
captureDate,Дата відлову,"Дата, коли було відловлено тварину, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30",date,True
captureCATUTTC,Код КАТОТТГ,Код КАТОТТГ адміністративної одиниці. Наприклад: UA32140050010021659,string,True
captureAddressPostCode,Поштовий індекс,"Поштовий індекс адреси будівлі, біля якої було відловлено тварину. Наприклад: 01234",string,True
captureAddressAdminUnitL1,Країна,Назва країни. У колонці має бути зазначено: Україна,string,True
captureAddressAdminUnitL2,Регіон,"Назва регіону, в якому було відловлено тварину. Наприклад: Полтавська область",string,True
captureAddressAdminUnitL3,Район,"Назва району, в якому було відловлено тварину. Наприклад: Броварський район. У разі відсутності вказати: null",string,False
captureAddressAdminUnitL4,Територіальна громада,"Назва територіальної громади, в якій було відловлено тварину. Наприклад: Згурівська. У разі відсутності вказати: null",string,False
captureAddressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради, де розміщене насадження. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта",string,True
captureAddressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо, на якому було відловлено тварину. Наприклад: вул. Харківська",string,True
captureAddressLocatorDesignator,Номер будівлі,"Номер будівлі (об’єкта), біля якого було відловлено тварину, може включати числа та букви. Наприклад: 15-А",string,True
captureAddressLocatorBuilding,Номер корпусу,"Номер корпусу будівлі, біля якої було відловлено тварину, зазначається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати: null",string,False
captureAddressDescription,Опис місця відлову,"Опис вказується за потреби, щоб чіткіше визначити розміщення. Наприклад: Центральна алея",string,False
captureLat,Географічна широта,"Географічна широта місця, в якому було відновлено тварину. Розділювач десяткових значень — крапка. Наприклад: 50.457718. У разі відсутності вказати: null",decimal,False
captureLon,Географічна довгота,"Географічна довгота місця, в якому було відновлено тварину. Розділювач десяткових значень — крапка. Наприклад: 30.487021. У разі відсутності вказати: null",decimal,False
animalSpecies,Вид тварини,"Вказується біологічний вид тварини. Наприклад: собака, кіт тощо",string,True
animalBreed,Порода тварини,"Вказується порода тварини відповідно до міжнародних класифікаторів, якщо можливо визначити. Наприклад: Австралійський Келпі. 
Якщо породу визначити неможливо, вказується: визначити неможливо",string,True
animalSex,Стать тварини,"Вказується відповідно до міжнародної класифікації: Стать зазначається цифрами відповідно до стандарту ISO/IEC 5218:2004: 0 — невідомо, 1 — самець, 2 — самка, 9 — не застосовується. Наприклад: 1",string,True
aminalColour,Окрас тварини,Вказується окрас тварини. Наприклад: чорно-сірий.,string,True
animalFur,Тип шерсті тварини,Вказується тип шерсті тварини. Наприклад: короткошерста,string,True
animalHeight,Висота тварини в холці,"Вказується висота тварини в холці, в сантиметрах. Наприклад: 51",integer,True
animalWeight,Вага тварини,Вказується вага тварини в кілограмах. Наприклад: 20,integer,True
vaccinationsInfo,Дані про зроблені щеплення,"Вказується інформація про хвороби, від яких були зроблені щеплення. Якщо щеплення було зроблено від кількох хвороб, значення розділяються комою. Наприклад: сказ, чума, лептоспіроз",string,True
isSterilizationInfo,Інформація про стерилізацію,"Вказується, чи було стерилізовано тварину. Якщо так, вказується True, якщо ні – False. Наприклад: True",boolean,True
veterinaryName,"Назва юридичної особи, яка проводила медичні маніпуляції із твариною","Назва юридичної особи, яка проводила медичні маніпуляції із твариною. Наприклад: КП «Містсервіс»",string,True
veterinaryId,"Код ЄДРПОУ юридичної особи, яка яка проводила медичні маніпуляції із твариною","Код ЄДРПОУ юридичної особи, яка проводила медичні маніпуляції із твариною. Наприклад: 01411082",string,True
releasedDate,"Дата, коли тварину було відпущено","Дата, коли було відпущено тварину, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30",date,True
releaseCATUTTC,Код КАТОТТГ,Код КАТОТТГ адміністративної одиниці. Наприклад: UA32140050010021659,string,True
releaseAddressPostCode,Поштовий індекс,"Поштовий індекс місця, в якому відпущено тварину. Наприклад: 01234",string,True
releaseAddressAdminUnitL1,Країна,Назва країни. У колонці має бути зазначено: Україна,string,True
releaseAddressAdminUnitL2,Регіон,"Назва регіону, в якому відпущено тварину. Наприклад: Полтавська область",string,True
releaseAddressAdminUnitL3,Район,"Назва району, в якому відпущено тварину.  Наприклад: Броварський район. У разі відсутності вказати: null",string,False
releaseAddressAdminUnitL4,Територіальна громада,"Назва територіальної громади, в якій відпущено тварину. Наприклад: Згурівська. У разі відсутності вказати: null",string,False
releaseAddressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради, де розміщене насадження. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта",string,True
releaseAddressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо, де відпущено тварину. Наприклад: вул. Харківська",string,True
releaseAddressLocatorDesignator,Номер будівлі,"Номер будівлі, біля якої відпущено тварину. Номер будівлі (об’єкта) може включати числа та букви. Наприклад: 15-А",string,True
releaseAddressLocatorBuilding,Номер корпусу,"Номер корпусу, біля якого відпущено тварину, зазначається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати: null",string,False
releaseAddressDescription,Опис розміщення,"Опис місця, в якому відпущено тварину. Опис вказується за потреби, щоб чіткіше визначити розміщення. Наприклад: Центральна алея",string,False
releaseLat,Географічна широта,"Географічна широта місця, де відпущено тварину. Розділювач десяткових значень — крапка. Наприклад: 50.457718. У разі відсутності вказати: null",decimal,False
releaseLon,Географічна довгота,"Географічна довгота місця, де відпущено тварину. Розділювач десяткових значень — крапка. Наприклад: 30.487021. У разі відсутності вказати: null",decimal,False
