name,title,description,datatype,required
uid,Унікальний ідентифікатор,"Вказується ідентифікатор петиції. Ідентифікатор довільний, але має бути унікальним для всього ресурсу. Ідентифікатор може складатись із дати подання петиції. Наприклад: 2024-09-04-1",string,True
kind,Категорія петиції,"Категорія петиції. Наприклад: освіта, економіка, ЖКГ",string,False
title,Назва петиції,Вказується назва петиції. Наприклад: Про реформу освіти,string,True
url,Посилання,Посилання на перегляд або завантаження повного тексту петиції. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/contract-345.doc,anyURL,True
text,Текст петиції,Вказується назва файлу із текстовим вмістом петиції.,string,False
authorityName,Орган,"Вказується назва органу, до якого подано петицію. Наприклад: Піщанська сільська рада",string,True
authorityId,Код ЄДРПОУ,"Код ЄДРПОУ органу, до якого подано петицію. Наприклад: 01234567",string,True
authorityCattutc,Код КАТОТТГ,Зазначається код Кодифікатора адміністративно-територіальних одиниць та територій територіальних громад (КАТОТТГ) на територію якої розповсюджуються повноваження органу місцевого самоврядування. Наприклад: UA32140050000046018,string,True
startDate,Дата початку збору підписів,"Дата початку збору підписів у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2019-05-30
 ",date,True
count,"Загальна кількості осіб, які підписали електронну петицію","Загальна кількості осіб, які підписали електронну петицію станом на дату . Наприклад: 25000",string,True
creator,"Прізвище, ім'я та по батькові автора (ініціатора) електронної петиції",Вказується інформація про особу автора петиції,string,True
status,Статус петиції,"Статус петиції. Наприклад: триває збір підписів, на розгляді, з відповіддю.",string,True
answerDate,Дата відповіді,Дата відповіді у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2019-05-30,date,True
answerUrl,Посилання,Посилання на перегляд відповіді на петицію. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/contract-345.doc,anyURL,True
answerText,Текст відповіді на петицію,Вказується текст назва файлу із текстовим вмістом відповіді на петицію,string,False
