name,title,description,datatype,required
uid,Ідентифікатор,"Ідентифікатором нормативно правового акта (далі – НПА) або акта індивідуальної дії є номер та рік видання, що розділені знаком дефіс. Наприклад: 1234-р-2018. Розпорядники також можуть використовувати власні види ідентифікаторів",string,True
type,Вид,"Залежно від повноважень розпорядника вид НПА може мати одне зі значень: закон, постанова, указ, розпорядження, декрет, рішення, наказ. Наприклад: постанова. Розпорядники мають скласти перелік видів НПА відповідно до повноважень",string,True
title,Назва,Назва (заголовок) нормативно-правового акта або акта індивідуальної дії. Наприклад: Про питання споживання природного газу,string,True
acceptedDate,Дата ухвалення,Дата ухвалення нормативно-правового акта або акта індивідуальної дії у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06,date,True
number,Номер,Номер НПА. Наприклад: 1234-р,string,False
issuedDate,Дата оприлюднення,Дата оприлюднення нормативно-правового акта або акта індивідуальної дії у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06,date,True
validFrom,Чинний від,Дата набрання чинності нормативно-правовим актом або актом індивідуальної дії у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06,date,True
status,Статус,"Статус може мати одне зі значень: Набирає чинності, Чинний, Втратив чинність, Дію зупинено, Дію відновлено, Не набрав чинності. Наприклад: Чинний",string,True
publisherName,Назва видавника,Повна назва видавника. Наприклад: Міністерство охорони здоров’я України,string,True
publisherId,Ідентифікатор видавника,"Якщо видавник є юридичною особою, вказати його код ЄДРПОУ. Наприклад: 01234567. У іншому випадку зазначити: null",string,False
text,Текст ,Вказується текст документа або назва файлу із текстовим вмістом,string,True
url,Посилання,Посилання на оприлюднений в мережі Інтернет документ (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/,anyURL,True
registrationNumber,Номер державної реєстрації,"Номер акта за державним реєстром. Наприклад: 123/12345. Якщо державна реєстрація не передбачена, вказати: null",string,False
registrationDate,Дата державної реєстрації,"Дата державної реєстрації акта форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06. Якщо державна реєстрація не передбачена, вказати: null",date,False
registratorName,Назва реєстратора,"Назва суб’єкта, що провів державну реєстрацію НПА. Наприклад: Головне територіальне управління юстиції у місті Києві. Якщо державна реєстрація не передбачена, вказати: null",string,False
registratorId,Ідентифікатор реєстратора,"Код ЄДРПОУ суб’єкта, що провів державну реєстрацію НПА. Наприклад: 01234567. Якщо державна реєстрація не передбачена, вказати: null",string,False
