name,title,description,datatype,required
uid,Ідентифікатор,Ідентифікатором проєкту нормативно-правового акта може бути порядковий номер або будь-яка інша унікальна комбінація символів. Наприклад: p-2019-056,string,True
type,Тип,"Залежно від повноважень розпорядника вид НПА може мати одне зі значень: закон, постанова, указ, розпорядження, декрет, рішення, наказ. Наприклад: постанова. Розпорядники мають скласти перелік видів НПА відповідно до повноважень",string,True
title,Назва,Назва (заголовок) нормативно-правового акта. Наприклад: Про питання споживання природного газу,string,True
registrationDate,Дата реєстрації,"Дата реєстрації проєкту в форматі ISO 8601 (рррр-мм-дд). Якщо реєстрація не передбачена, вказати: null",date,False
issuedDate,Дата оприлюднення,Дата оприлюднення проєкту в форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06,date,True
text,Текст ,Вказується текст документа або назва файлу із текстовим вмістом.,string,True
url,Посилання на проєкт,Посилання в мережі Інтернет (URL) на перегляд документа. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/.,anyURL,True
creatorName,Ім’я/назва суб’єкта подання,"Прізвище ім’я по батькові або назва суб’єкта, що подає проєкт. Наприклад: Міністерство охорони здоров’я України. Якщо суб'єктів декілька, розділити значення символом крапка з комою",string,True
creatorId,Ідентифікатор суб’єкта подання,"Якщо суб’єкт подання є юридичною особою, вказати його код ЄДРПОУ. Наприклад: 01234567. У іншому випадку зазначити: null",string,False
publisherName,Назва видавника,"Повна назва суб’єкта нормотворення, що має розглянути проєкт. Наприклад: Міністерство охорони здоров’я України",string,True
publisherId,Ідентифікатор видавника,"Якщо суб’єкт нормотворення, є юридичною особою, вказати його код ЄДРПОУ. Наприклад: 01234567. У іншому випадку зазначити: null",string,False
note,Пояснювальна записка,"Посилання в мережі Інтернет (URL) на пояснювальну записку до проєкту. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/
Якщо пояснювальна записка відсутня, вказати: null",anyURL,False
comparisonTable,Порівняльна таблиця,"Посилання в мережі Інтернет (URL) на порівняльну таблицю. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/. Якщо порівняльна таблиця відсутня, вказати: null",anyURL,False
regulatoryImpactAnalysis,Аналіз регуляторного впливу,"Посилання в мережі Інтернет (URL) на аналіз регуляторного впливу. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/. Якщо аналіз регуляторного впливу не передбачений, вказати: null",anyURL,False
