name,title,description,datatype,required
uid,Ідентифікатор,"Унікальним ідентифікатором договору є його номер та рік підписання, що розділені знаком дефіс. Наприклад: 345/п-2018. Розпорядники можуть використовувати власні ідентифікатори",string,True
num,Номер договору,Номер договору. Наприклад: 345/п,string,True
dateSigned,Дата підписання,Дата підписання договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30,date,True
authorityName,Назва органу,"Назва органу, який є стороною договору. Наприклад: Управління державного архітектурно-будівельного контролю Дніпровської міської ради",string,True
authorityId,Ідентифікатор органу,"Код ЄДРПОУ органу, який є стороною договору. Наприклад: 01234567",string,True
customerName,Ім'я або назва замовника,"Прізвище, ім’я, по батькові або назва юридичної особи замовника. Наприклад: ФОП Коваленко Олена Василівна",string,True
customerId,Ідентифікатор замовника,Код ЄДРПОУ замовника. Наприклад: 01234567. Дані реєстраційного номера облікової картки платника податків фізичної особи-підприємця знеособлюються,string,True
description,Опис,"Опис предмета договору, у тому числі найменування об’єкта будівництва. Наприклад: Будівництво житлового будинку №19 у складі проекту торговельно-офісно-розважального комплексу (ІІІ черга будівництва)",string,True
cadastralNum,Кадастровий номер,"Кадастровий номер земельної ділянки, на якій розміщується об’єкт будівництва. Наприклад: 12345678901:01:012:0123",string,True
CATUTTC,Код КАТОТТГ,Код КАТОТТГ адміністративної одиниці. Наприклад: UA32140050010021659,string,True
addressPostCode,Поштовий індекс,Поштовий індекс адреси об'єкта будівництва. Наприклад: 01234,string,True
addressAdminUnitL1,Країна,Назва держави. У колонці має бути зазначено: Україна,string,True
addressAdminUnitL2,Регіон,Назва регіону. Наприклад: Полтавська область,string,True
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати: null,string,False
addressAdminUnitL4,Територіальна громада,Назва територіальної громади. Наприклад: Згурівська. У разі відсутності вказати: null,string,False
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради, де розміщене насадження. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта",string,True
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська",string,True
addressLocatorDesignator,Номер об’єкта,Номер може включати числа та букви. Наприклад: 15-А,string,True
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазначається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності вказати: null",string,False
periodStartDate,Початок дії,Дата початку дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06,date,True
periodEndDate,Завершення дії,Дата завершення дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-09-06,date,True
paymentEndDate,Термін сплати,Граничний термін сплати пайового внеску у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-10-06,date,True
status,Статус договору,"Статус договору може мати одне зі значень: Чинний, Виконаний, Скасований, Призупинений. Наприклад: Чинний",string,True
amountValue,Сума пайового внеску,"Загальна сума пайового внеску. Число вказується без зазначення валюти (“грн», “UAH»). Наприклад: 3000.0 Десяткові значення відділяються крапкою. ",decimal,True
percent,Розмір пайової участі,Розмір пайової участі у відсотках. Число вказується без знака відсотка. Наприклад: 3. Десяткові значення відділяються крапкою.  Наприклад: 5.0,decimal,True
paymentAmountValue,Сплачений внесок,"Сума платежу у гривнях без зазначення валюти (“грн», “UAH»). Наприклад: 2225.50. Десяткові значення відділяються крапкою. ",decimal,True
debtAmountValue,Заборгованість,"Наявна заборгованість у гривнях без зазначення валюти (“грн», “UAH»). Наприклад: 2225.50. Десяткові значення відділяються крапкою. Якщо заборгованість відсутня, вказати: 0.0",decimal,True
penyAmountValue,Пеня,"Нарахована пеня у гривнях без зазначення валюти (“грн», “UAH»). Наприклад: 2225.50 . Десяткові значення відділяються крапкою. Якщо пеня відсутня, вказати: 0.0",decimal,True
penaltyAmountValue,Штраф,"Нарахований штраф у гривнях без зазначення валюти (“грн», “UAH»). Наприклад: 2225.50 . Десяткові значення відділяються крапкою. Якщо штрафи відсутні, вказати 0.0",decimal,True
penaltyAmountCurrency,Валюта,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
