name,title,description,datatype,required
uid,Ідентифікатор,"Ідентифікатором об’єкта може може бути код ЄДРПОУ балансоутримувача та інвентарний номер об’єкта, що розділені знаком дефіс “-”. Наприклад: 01234567-10000234. Розпорядники можуть використовувати власні ідентифікатори",string,True
inventoryNumber,Інвентарний номер,Інвентарний номер об’єкта. Наприклад: 10000234,string,True
serialNumber,Серійний номер,Серійний номер медичного обладнання. Наприклад: AB 12345. У разі відсутності вказати: null,string,False
passportNumber,Номер паспорта,Номер паспорта медичного обладнання. Наприклад: AB 12345. У разі відсутності вказати: null,string,False
title,Найменування обладнання,Найменування медичного обладнання. Наприклад: Аналізатор біохімічний,string,True
model,Модель обладнання,Модель медичного обладнання. Наприклад: ВА-88А,string,True
producerName,Виробник,Назва виробника медичного обладнання. Наприклад: ТОВ «Медобладнання»,string,True
yearMade,Рік випуску обладнання,Рік випуску медичного обладнання (лише число). Наприклад: 2009,date,True
quantity,Кількість,Кількість одиниць медичного обладнання. Наприклад: 3. Десяткові значення відділяються крапкою. ,decimal,True
unitName,Одиниця виміру,"Назва одиниці медичного обладнання, наприклад, штука, пара, набір тощо. Наприклад: шт.",string,True
primaryAmountValue,Первісна вартість,"Первісна (переоцінена) вартість медичного обладнання в гривнях без зазначення валюти (“грн”, “UAH”). Наприклад: 1000.50. Десяткові значення відділяються крапкою.",decimal,True
currencyCode,Валюта,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
amortizationAmountValue,Сума зносу,"Сума зносу (накопиченої амортизації) медичного обладнання в гривнях без зазначення валюти (“грн”, “UAH”). Наприклад: 100.00. Десяткові значення відділяються крапкою. ",decimal,True
currencyCode,Валюта,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
bookAmountValue,Балансова вартість,"Балансова вартість медичного обладнання в гривнях без зазначення валюти (“грн”, “UAH”). Наприклад: 900.50. Десяткові значення відділяються крапкою.",decimal,True
currencyCode,Валюта,"Літерний код валюти, в якій вказана вартість відповідно до ДСТУ ISO 4217:2010. Наприклад: UAH",string,True
usageDuarationInYears,Корисне використання,Строк корисного використання медичного обладнання в роках (лише число). Десяткові значення відділяються крапкою. Наприклад: 5.5. ,decimal,True
serviceSubgroupTitle,Назва підгрупи послуг,"Назва підгрупи медичних послуг (2-й рівень), які надаються на обладнанні, відповідно до Галузевого класифікатора медичних процедур (послуг) та хірургічних операцій (наказ Міністерства охорони здоров'я України від 14 лютого 2007 року № 67 “Про затвердження тимчасового галузевого класифікатора медичних процедур (послуг) та хірургічних операцій”). Наприклад: Ендоскопічні дослідження",string,True
serviceSubgroupId,Код підгрупи послуг,"Код підгрупи медичних послуг (2-й рівень), які надаються на обладнанні, відповідно до Галузевого класифікатора медичних процедур (послуг) та хірургічних операцій (наказ Міністерства охорони здоров'я України від 14 лютого 2007 року № 67 “Про затвердження тимчасового галузевого класифікатора медичних процедур (послуг) та хірургічних операцій”). Наприклад: 2A",string,True
balanceHolderName,Назва баласоутримувача,"Повна назва юридичної особи, яка є балансоутримувачем медичного обладнання. Наприклад: Комунальний заклад «Центральна міська лікарня м. Кропивницького»",string,True
balanceHolderId,ЄДРПОУ балансоутримувача,"Код ЄДРПОУ юридичної особи, яка є балансоутримувачем медичного обладнання. Наприклад: 01411082",string,True
