name,title,description,datatype,required
uid,Ідентифікатор,"Ідентифікатором дозволу є його реєстраційний номер і рік видачі, що розділені символом дефіс. Наприклад: 20-2019. Розпорядники можуть використовувати власні ідентифікатори",string,True
number,Номер,Реєстраційний номер дозволу. Наприклад: 20,string,True
issuedDate,Дата видачі,Дата видачі у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2019-05-30,date,True
authorityName,Назва органу,Назва уповноваженого органу. Наприклад: Відділ з контролю за благоустроєм міста Департаменту контролю Харківської міської ради,string,True
authorityId,Ідентифікатор органу,Код ЄДРПОУ уповноваженого органу. Наприклад: 01234567,string,True
applicantName,Ім'я або назва заявника,"Прізвище, ім’я, по батькові або назва юридичної особи заявника. Наприклад: Супрун Олександр Іванович",string,True
applicantId,Ідентифікатор заявника,Код ЄДРПОУ заявника. Наприклад: 01234567. Дані реєстраційного номера облікової картки платника податків фізичної особи-підприємця знеособлюються,string,True
workType,Вид робіт,"Вид земляних та/або ремонтних робіт відповідно до Додатка 3 Типового порядку видачі дозволів на порушення об’єктів благоустрою або відмови в їх видачі, переоформлення, видачі дублікатів, анулювання дозволів, затвердженого постановою Кабінету Міністрів України від 30 жовтня 2013 року № 870 «Про затвердження Типового порядку видачі дозволів на порушення об’єктів благоустрою або відмови в їх видачі, переоформлення, видачі дублікатів, анулювання дозволів» (Офіційний вісник України, 2013 р., № 96, ст. 3551). Наприклад: Роботи, пов’язані з інженерними вишукуваннями",string,True
objectName,Назва об'єкта,Назва об’єкта благоустрою. Наприклад: Пішохідний тротуар з асфальтним покриттям,string,True
CATUTTC,Код КАТОТТГ,Код КАТОТТГ адміністративної одиниці. Наприклад: UA32140050010021659,string,True
addressPostCode,Поштовий індекс,Поштовий індекс адреси об’єкта благоустрою. Наприклад: 01234,string,True
addressAdminUnitL1,Країна,Назва країни. У колонці має бути зазначено Україна,string,True
addressAdminUnitL2,Регіон,"Назва регіону, де розміщений об’єкт благоустрою. Наприклад: Полтавська область",string,True
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати: null,string,False
addressAdminUnitL4,Територіальна громада,Назва територіальної громади. Наприклад: Згурівська. У разі відсутності вказати: null,string,False
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради, де розміщене насадження. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта",string,True
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська",string,True
addressLocatorDesignator,Номер будівлі,Номер будівлі (об’єкта) може включати числа та букви. Наприклад: 15-А,string,True
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати: null",string,False
addressDescription,Опис розміщення,"Опис вказується за потреби, щоб чіткіше визначити розміщення. Наприклад: Центральна алея",string,False
lat,Географічна широта,Географічна широта об'єкта. Розділювач десяткових значень — крапка. Наприклад: 50.457718. У разі відсутності вказати: null,decimal,False
lon,Географічна довгота,Географічна довгота об'єкта. Розділювач десяткових значень — крапка. Наприклад: 30.487021. У разі відсутності вказати: null,decimal,False
status,Статус,"Статус дозволу може мати одне зі значень: Чинний, Чинний зі змінами, Втратив чинність, Скасований, Чинність відновлено. Наприклад: Чинний",string,True
validFrom,Дата початку дії дозволу,"Дата, з якої діє дозвіл, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30",date,True
validThrough,Дата завершення дії дозволу,"Дата, до якої діє дозвіл, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-06-30",date,True
url,Посилання,"Посилання на копію дозволу, оприлюднену в мережі Інтернет (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/. Якщо дозвіл не оприлюднений, вказати: null",anyURL,False
text,Текст дозволу,Вказується текст документа або назва файлу із текстовим вмістом.,string,True
