name,title,description,datatype,required
uId,Ідентифікатор,"Унікальний ідентифікатор проекту регуляторного акта. Ідентифікатором може бути рік, на який ухвалений план, і порядковий номер у переліку, що розділені знаком дефіс. Наприклад: 2019-01. Розпорядники можуть використовувати власні ідентифікатори",string,True
title,Назва проєкту регуляторного акта,"Назва проєкту  регуляторного акта. Наприклад: Порядок встановлення режиму роботи закладів торгівлі, ресторанного господарства, сфери послуг та розваг",string,True
legalActTitle,Назва проекту нормативно-правового акта,"Повна назва проекту нормативно-правового акта, який виноситься на розгляд регуляторного органу. Наприклад: Проект рішення Вінницької міської ради “Про встановлення режиму роботи закладів торгівлі, ресторанного господарства, сфери послуг та розваг, розташованих на території м. Вінниці”",string,True
type,Вид проекту,"Вид проекту може мати одне зі значень: (а) прийняття нового регуляторного акта, (б) внесення змін до регуляторного акта, (в) скасування діючого регуляторного акта. Наприклад: внесення змін до регуляторного акта",string,True
objective,Ціль прийняття,"Стислий виклад цілі або цілей прийняття регуляторного акта. Наприклад: Встановлення (за погодженням з власниками) зручного для населення режиму роботи закладів торгівлі, ресторанного господарства, сфери послуг та розваг, розташованих на території міста Вінниці. Якщо у проекті визначено декілька цілей, їх треба розділити знаком крапка з комою",string,True
isVersionOfІd,"Ідентифікатор акта, до якого вносяться зміни","Якщо проект передбачає внесення змін до чинного регуляторного акта, необхідно вказати ідентифікатор регуляторного акта з набору даних “Перелік діючих регуляторних діючих актів” (колонка uid). Наприклад: 719-2014-05-29. Якщо ідентифікатор відсутній, вказати: null",string,False
isVersionOfTitle,"Назва акта, до якого вносяться зміни","Якщо проект передбачає внесення змін до чинного регуляторного акта, необхідно вказати назву регуляторного акта з набору даних ""Перелік регуляторних актів"" (колонка title). Наприклад: Порядок встановлення режиму роботи закладів торгівлі, ресторанного господарства, сфери послуг та розваг",string,False
creatorName,Повна назва розробника,"Повна назва органу й підрозділу відповідального за розробку проекту регуляторного акта або прізвище, ім'я, по батькові розробників. Наприклад: Департамент економіки і інвестицій Вінницької міської ради",string,True
creatorId,Ідентифікатор розробника,"Номер розробника проекту регуляторного акта в Єдиному державному реєстрі юридичних осіб, фізичних осіб-підприємців та громадських формувань (ЄДРПОУ). Наприклад: 01411082. Якщо розробник немає коду ЄДРПОУ, вказати: null",string,False
creationEndDate,Кінець строку розробки,"Кінцева дата строку розробки проекту регуляторного акта у форматі ISO 8601 (рррр-мм-дд). Якщо планом затверджено місяць чи квартал, то необхідно зазначити останній день цього періоду. Наприклад: 2019-06-01",date,True
url,Посилання в мережі Інтернет,Посилання на оприлюднений проект регуляторного акта в мережі Інтернет (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/,anyURL,True
text,Текст ,Вказується назва файлу із текстовим вмістом.,string,True
bibliographicCitation,Посилання в друкованих виданнях,"Посилання має включити достатню кількість подробиць для того, щоб точно визначити джерело. Рекомендовано використовувати ДСТУ 8302:2015. Наприклад: Вісник Поділля. 2014. Вип. 12/2. С. 2. Якщо посилання відсутнє, вказати: null",string,False
submissionDate,Дата внесення на розгляд,Дата внесення проекту регуляторного органу на розгляд у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-10-05,date,True
authorityName,Назва регуляторного органу,"Повна назва регуляторного органу, яким буде затверджено проект регуляторного акта. Наприклад: Виконавчий комітет Вінницької міської ради",string,True
authorityId,Ідентифікатор регуляторного органу,"Номер регуляторного органу в Єдиному державному реєстрі юридичних осіб, фізичних осіб-підприємців та громадських формувань (код ЄДРПОУ). Наприклад: 01411082. Якщо регуляторний орган не має коду ЄДРПОУ, вказати: null",string,False
