name,title,description,datatype,required
uid,Ідентифікатор,Порядковий номер або будь-який інший унікальний  ідентифікатор будинку або споруди. Наприклад: 0015,string,True
monitoringDate,Дата,Дата проведення перевірки/моніторингу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30,date,True
authorityName,Назва органу,"Назва органу, що здійснив перевірку/моніторинг. Наприклад: Управління з питань державного архітектурно-будівельного контролю Херсонської міської ради",string,True
authorityId,Ідентифікатор органу,"Код ЄДРПОУ органу, що здійснив перевірку/моніторинг. Наприклад: 01234567",string,True
entityName,Ім’я або назва суб’єкта,"Прізвище, ім’я, по батькові або назва юридичної особи суб’єкта містобудування, що є відповідальним за дотримання вимог доступності будівель та споруд. Наприклад: КП «Херсонська міська поліклініка №1»",string,True
entityId,Ідентифікатор суб’єкта,"Код ЄДРПОУ суб’єкта містобудування, що є відповідальним за дотримання вимог доступності будівель та споруд. Наприклад: 01234567. Дані реєстраційного номера облікової картки платника податків фізичної особи-підприємця знеособлюються",string,False
buildingName,Назва об’єкта,Назва будівлі/споруди. Наприклад: Головний корпус Поліклініки №1,string,True
CATUTTC,Код КАТОТТГ,Код КАТОТТГ адміністративної одиниці. Наприклад: UA32140050010021659,string,True
addressPostCode,Поштовий індекс,Поштовий індекс адреси будівлі/споруди. Наприклад: 01234,string,True
addressAdminUnitL1,Країна,Назва країни. У колонці має бути зазначено: Україна,string,True
addressAdminUnitL2,Регіон,"Назва регіону, де розміщена будівля/споруда. Наприклад: Полтавська область",string,True
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати: null,string,False
addressAdminUnitL4,Територіальна громада,Назва територіальної громади. Наприклад: Згурівська. У разі відсутності вказати: null,string,False
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова “місто”, “селищна рада” та їх скорочень “м.” та “с. р.”). Наприклад: Балта",string,True
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська",string,True
addressLocatorDesignator,Номер будівлі,Номер будівлі (об’єкта) може включати числа та букви. Наприклад: 15-А,string,True
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності вказати: null",string,False
