name,title,description,datatype,required
uid,Ідентифікатор,Номер або інший унікальний ідентифікатор документу. Наприклад: z-2018-01,string,True
title,Назва,"Повна назва документу. Наприклад: Схема планування території Броварського району пояснювальна записка, том I, Господарський та територіальний розвиток.",string,True
creationDate,Дата створення,Дата створення документу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2011-12-01,date,True
customerName,Назва замовника,Найменування (організаційно-правова форма та назва) юридичної особи замовника схеми. Наприклад: Броварська а районна державна адміністрація,string,True
customerId,Код ЄДРПОУ замовника,Код ЄДРПОУ юридичної особи замовника схеми. Наприклад: 01411082,string,True
executantName,Назва виконавця,Найменування (організаційно-правова форма та назва) юридичної особи виконавця схеми. Наприклад: Товариство з обмеженою відповідальністю «Містпроект»,string,True
executantId,Код ЄДРПОУ виконавця,Код ЄДРПОУ юридичної особи виконавця схеми. Наприклад: 01411082,string,True
contractNumber,Номер договору,Вказується номер договору між замовником та розробником схеми,string,True
url,Посилання,"Посилання на копію документу, оприлюднену в мережі Інтернет (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/",anyURL,True
fileName,Назва файлу,"Назва файлу із текстовими матеріалами, який завантажений в архів. ",string,False
decisionStatus,Статус,"Статус рішення. Вказується статус того чи прийнятий цей документ, або він знаходиться на стадії проекту, або громадського обговорення. Якщо документ знаходиться на стадії проекту, наступні поля заповнюються значенням: null. Наприклад: Затверджено",string,True
decisionName,Назва рішення,"Назва рішення або іншого нормативно - правового акту, яким було затверджено документ",string,False
decisionNumber,Номер рішення,"Номер рішення або іншого нормативно - правового акту, яким було затверджено документ",string,False
decisionDate,Дата рішення,"Дата рішення або іншого нормативно - правового акту, яким було затверджено документ",date,False
authorityName,"Назва органу, що прийняв рішення","Назва органу, який прийняв рішення щодо затвердження документу",string,False
authorityId,"Код ЄДРПОУ органу, що прийняв рішення","Код ЄДРПОУ органу, який прийняв рішення щодо затвердження документу",string,False
