name,title,description,datatype,required
uid,Ідентифікатор,Реєстраційний номер будівельного паспорта. Наприклад: 2019-345/п,string,True
issuedDate,Дата видачі,Дата видачі у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30,date,True
authorityName,Назва органу,Назва уповноваженого органу. Наприклад: Департамент містобудування та архітектури Дніпровської міської ради,string,True
authorityId,Ідентифікатор органу,Код ЄДРПОУ уповноваженого органу. Наприклад: 01234567,string,True
applicantName,Ім'я або назва замовника,"Прізвище, ім’я, по батькові або назва юридичної особи замовника. Наприклад: Супрун Олександр Іванович.",string,True
applicantId,Ідентифікатор замовника,Код ЄДРПОУ замовника. Наприклад: 01234567. Дані реєстраційного номера облікової картки платника податків фізичної особи -підприємця знеособлюються,string,True
type,Вид будівництва,"Вказується вид будівництва відповідно до пункту 1 частини першої статті 1 Закону України «Про регулювання містобудівної діяльності»: нове будівництво, реконструкція, реставрація, капітальний ремонт об’єкта будівництва",string,True
name,Назва об'єкта,Назва об'єкта будівництва. Наприклад: Житловий будинок,string,True
cadastralNumber,Кадастровий номер,"Кадастровий номер земельної ділянки, на якій розміщується об’єкт будівництва. Наприклад: 12345678901:01:012:0123",string,True
CATUTTC,Код КАТОТТГ,Код КАТОТТГ адміністративної одиниці. Наприклад: UA32140050010021659,string,True
addressPostCode,Поштовий індекс,Поштовий індекс адреси об'єкта будівництва. Наприклад: 01234,string,True
addressAdminUnitL1,Країна,Назва держави. У колонці має бути зазначено: Україна,string,True
addressAdminUnitL2,Регіон,"Назва регіону, де розміщений об’єкт будівництва. Наприклад: Полтавська область",string,True
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати: null,string,False
addressAdminUnitL4,Територіальна громада,Назва територіальної громади. Наприклад: Згурівська. У разі відсутності вказати: null,string,False
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради, де розміщене насадження. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта",string,True
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо, де розміщений об’єкт. Наприклад: вул. Харківська",string,True
addressLocatorDesignator,Номер об’єкта,Номер може включати числа та букви. Наприклад: 15-А,string,True
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазначається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності вказати: null",string,False
status,Статус,"Статус будівельного паспорта може мати одне зі значень: Чинний, Чинний зі змінами, Втратив чинність, Скасований, Чинність відновлено. Наприклад: Чинний",string,True
statusDescription,Підстава зміни статусу,"Інформація про підставу для зміни статусу документа. Наприклад: наказ Департаменту містобудування та архітектури Дніпровської міської ради № 234 від 12 березня 2019 року. Якщо зміни відсутні, вказати: null",string,False
url,Посилання,"Посилання на копію будівельного паспорта, оприлюднену в мережі Інтернет (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/",anyURL,True
text,Текст,Вказується назва файлу із текстовим вмістом.,string,True
